,libellefrancais,domanialite,circonferenceencm,hauteurenm,espece,latitude,longitude,stadedeveloppement_A,stadedeveloppement_J,stadedeveloppement_JA,stadedeveloppement_M
11790,Frêne à fleurs,Alignement,50.0,10.0,ornus,48.8780034872,2.38528446624,0,0,1,0
11791,Sophora,Alignement,40.0,5.0,japonica,48.8855317414,2.39797851615,0,1,0,0
11792,Platane,Alignement,120.0,15.0,x hispanica,48.884407989,2.37609393453,1,0,0,0
11793,Chêne,Alignement,40.0,5.0,ilex,48.8859909515,2.39512659055,0,0,1,0
11794,Platane,Alignement,70.0,20.0,x hispanica,48.883363451799994,2.37105500918,0,0,1,0
11796,Platane,Alignement,30.0,4.0,x hispanica,48.898277514499995,2.37113073451,0,1,0,0
11797,Platane,Alignement,135.0,20.0,orientalis,48.8765424923,2.37507738159,1,0,0,0
11798,Platane,Alignement,230.0,25.0,orientalis,48.87723604709999,2.37404771303,1,0,0,0
11799,Platane,Alignement,35.0,10.0,x hispanica,48.8823716095,2.39368463739,0,1,0,0
11802,Copalme,DASCO,65.0,9.0,styraciflua,48.8772523365,2.396261628049999,0,1,0,0
11803,Tilleul,DFPE,130.0,15.0,platyphyllos,48.8938264521,2.37180932871,1,0,0,0
11805,Chêne,Alignement,30.0,5.0,ilex,48.8775405374,2.39510391619,0,1,0,0
11806,Peuplier,DJS,95.0,20.0,x canescens,48.890861762499995,2.39799013997,1,0,0,0
11810,Marronnier,DASCO,140.0,10.0,hippocastanum,48.8740688361,2.381332248099999,1,0,0,0
11811,Charme,Alignement,45.0,10.0,betulus,48.8945963326,2.37289218723,0,0,1,0
11812,Frêne à fleurs,Alignement,30.0,4.0,ornus,48.900661361,2.38129361677,0,1,0,0
11814,Peuplier,Alignement,130.0,20.0,x canadensis,48.8858366916,2.37301179322,0,0,1,0
11815,Platane,Alignement,145.0,20.0,x hispanica,48.8891281957,2.39780554824,1,0,0,0
11816,Fevier,Alignement,110.0,15.0,triacanthos f. Inermis,48.8855747665,2.39274484178,1,0,0,0
11818,Sophora,Alignement,145.0,15.0,japonica,48.88217519759999,2.40203002142,1,0,0,0
11819,Frêne,Alignement,30.0,10.0,excelsior,48.8901748915,2.37243619328,0,1,0,0
11820,Platane,PERIPHERIQUE,120.0,10.0,x hispanica,48.8924795048,2.395826567399999,1,0,0,0
11821,Platane,Alignement,40.0,5.0,x hispanica,48.8826477584,2.37775889536,0,1,0,0
11822,Platane,Alignement,75.0,10.0,orientalis,48.87869912219999,2.38215266967,0,0,1,0
11823,Platane,Alignement,115.0,15.0,x hispanica,48.8860455211,2.38297751802,1,0,0,0
11824,Micocoulier,DASCO,55.0,5.0,australis,48.8866240485,2.388094798719999,0,1,0,0
11826,Sophora,Alignement,115.0,15.0,japonica,48.8753878157,2.39495054181,1,0,0,0
11827,Platane,Alignement,35.0,5.0,x hispanica,48.89316555709999,2.39808004589,0,1,0,0
11828,Cerisier à fleurs,DJS,35.0,6.0,serrula,48.8931994049,2.39663205634,0,1,0,0
11832,Micocoulier,Alignement,75.0,10.0,australis,48.8926417354,2.37929792447,1,0,0,0
11836,Tulipier,Alignement,95.0,15.0,tulipifera,48.885653466,2.37554203248,1,0,0,0
11837,Robinier,Jardin,175.0,20.0,pseudoacacia,48.8888916432,2.39810700423,1,0,0,0
11841,Sophora,Alignement,130.0,15.0,japonica,48.8913566519,2.3689722021,1,0,0,0
11842,Erable,Alignement,70.0,5.0,campestre,48.8839988735,2.37794447489,0,1,0,0
11844,Sophora,Alignement,35.0,5.0,japonica,48.8889016715,2.39606569199,0,1,0,0
11846,Sophora,Alignement,195.0,20.0,japonica,48.8962289456,2.375525503,0,0,0,1
11848,Platane,Alignement,120.0,15.0,x hispanica,48.8794360341,2.38489301087,1,0,0,0
11849,Micocoulier,Alignement,65.0,10.0,australis,48.8794576945,2.40958452484,0,0,1,0
11850,Micocoulier,Alignement,25.0,5.0,australis,48.8928836536,2.3946521365,0,1,0,0
11852,Micocoulier,Alignement,85.0,10.0,australis,48.890813446799996,2.376924259689999,1,0,0,0
11853,Noisetier de Byzance,Alignement,65.0,10.0,colurna,48.890462117999995,2.386956734239999,0,1,0,0
11856,Mûrier,Jardin,105.0,7.0,alba,48.8999083065,2.38912713139,1,0,0,0
11858,Paulownia,Alignement,35.0,5.0,tomentosa,48.8888377768,2.378987039259999,0,1,0,0
11859,Platane,Alignement,60.0,10.0,x hispanica,48.8804930294,2.39069051086,0,0,1,0
11862,Tilleul,Alignement,90.0,10.0,tomentosa,48.8772700009,2.39298255949,1,0,0,0
11864,Erable,DJS,130.0,15.0,platanoides,48.8856550401,2.37580768738,1,0,0,0
11868,Platane,Alignement,145.0,20.0,x hispanica,48.8986388333,2.37347993363,1,0,0,0
11870,Merisier,Alignement,60.0,8.0,avium,48.8985202872,2.37199841872,0,1,0,0
11871,Platane,Alignement,145.0,20.0,x hispanica,48.88487160089999,2.37849753069,1,0,0,0
11873,Tilleul,Alignement,40.0,5.0,x europaea,48.8837421153,2.370622334999999,0,1,0,0
11874,Platane,Alignement,120.0,20.0,orientalis,48.876281774499994,2.37590116619,1,0,0,0
11875,Cerisier à fleurs,DASCO,75.0,7.0,x subhirtella,48.8772456084,2.40561195255,1,0,0,0
11879,Platane,Alignement,230.0,25.0,x hispanica,48.8990872778,2.38690762639,0,0,0,1
11880,Erable,Jardin,20.0,5.0,platanoides,48.87981888179999,2.401048035419999,0,1,0,0
11883,Sophora,Alignement,45.0,5.0,japonica,48.87456480499999,2.37440444109,0,1,0,0
11886,Robinier,Alignement,40.0,6.0,pseudoacacia,48.8795572962,2.377193467639999,0,1,0,0
11887,Platane,Alignement,230.0,20.0,x hispanica,48.8818848187,2.393423014549999,1,0,0,0
11889,Peuplier,Alignement,120.0,20.0,x canadensis,48.8847172958,2.373246198349999,1,0,0,0
11890,Ailante,DFPE,150.0,15.0,altissima,48.8833622295,2.39125369,1,0,0,0
11891,Tilleul,Alignement,100.0,10.0,tomentosa,48.88641599259999,2.37124718827,1,0,0,0
11893,Sophora,Alignement,30.0,5.0,japonica,48.875415693,2.39641630095,0,1,0,0
11896,Marronnier,DASCO,170.0,10.0,hippocastanum,48.8874286838,2.39865342439,1,0,0,0
11897,Platane,Alignement,175.0,25.0,orientalis,48.87715230829999,2.37426237457,1,0,0,0
11898,Peuplier,Alignement,130.0,20.0,x canadensis,48.8872844914,2.37605978272,1,0,0,0
11899,Hêtre,Alignement,105.0,15.0,sylvatica,48.8924010419,2.37145158638,1,0,0,0
11900,Noisetier de Byzance,Alignement,85.0,10.0,colurna,48.879456461,2.3989663817,1,0,0,0
11901,Cerisier à fleurs,PERIPHERIQUE,25.0,4.0,x schmittii,48.9002455409,2.37191264899,0,1,0,0
11902,Micocoulier,PERIPHERIQUE,30.0,4.0,australis,48.8855710685,2.39729380614,0,1,0,0
11903,Noisetier de Byzance,Alignement,60.0,5.0,colurna,48.8898482528,2.38664104194,0,1,0,0
11905,Paulownia,Alignement,120.0,15.0,tomentosa,48.8839698472,2.38057144502,1,0,0,0
11906,Tilleul,Alignement,85.0,15.0,x europaea,48.8871299698,2.3697407986,1,0,0,0
11907,Marronnier,DASCO,240.0,18.0,hippocastanum,48.8882580286,2.36910390744,0,0,0,1
11911,Poirier à fleurs,Alignement,30.0,5.0,calleryana,48.8819513303,2.37142901119,0,0,1,0
11912,Alisier,Alignement,25.0,5.0,aria,48.8804190634,2.37384398821,0,1,0,0
11913,Poirier à fleurs,PERIPHERIQUE,10.0,3.0,calleryana,48.9004856835,2.37234130477,0,1,0,0
11914,Platane,Alignement,135.0,25.0,x hispanica,48.8827118192,2.3941810117599998,1,0,0,0
11916,Marronnier,Alignement,85.0,10.0,hippocastanum,48.8947187949,2.372315830899999,0,0,1,0
11917,Platane,Alignement,60.0,10.0,x hispanica,48.898847042499995,2.37264840875,0,0,1,0
11918,Sophora,Alignement,75.0,10.0,japonica,48.890010423899994,2.37603464594,1,0,0,0
11919,Ailante,DJS,105.0,10.0,altissima,48.8808558929,2.371961859579999,0,0,1,0
11920,Platane,Alignement,85.0,15.0,x hispanica,48.8836063915,2.39622738473,1,0,0,0
11922,Micocoulier,DASCO,85.0,7.0,australis,48.8784046601,2.38724383513,0,0,1,0
11923,Noisetier de Byzance,PERIPHERIQUE,46.0,5.0,colurna,48.879339103,2.40701401396,0,1,0,0
11924,Tilleul,Alignement,60.0,5.0,x europaea,48.8857537708,2.37519438392,0,0,1,0
11926,Erable,PERIPHERIQUE,15.0,3.0,campestre,48.9000421719,2.37276757555,0,1,0,0
